[Type]	[PID]	[Module]                            	[Function]                                                               	[Length]	[Current Data]               	[Original Data]              	[Record Address]  	[RVA]
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF8896E630	     
IAT   	6300 	SCPSL.exe::nvapi64.dll              	ole32.dll!CoCreateInstance                                               	8       	0x00007FFF9908C030           	0x00007FFF9A3F42FB           	0x00007FFF8B532930	     
IAT   	6300 	SCPSL.exe::HttpProxy.dll            	ole32.dll!CoGetApartmentType                                             	8       	0x00007FFF99116170           	0x00007FFF9A3F4795           	0x00007FFF319AC490	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	ole32.dll!CoGetContextToken                                              	8       	0x00007FFF99120B90           	0x00007FFF9A3F4993           	0x00007FFF381296C8	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	ole32.dll!CoInitializeEx                                                 	8       	0x00007FFF990BB9E0           	0x00007FFF9A3F4F7F           	0x00007FFF30E6FFA0	     
IAT   	6300 	SCPSL.exe::HttpProxy.dll            	ole32.dll!CoInitializeEx                                                 	8       	0x00007FFF990BB9E0           	0x00007FFF9A3F4F7F           	0x00007FFF319AC478	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	ole32.dll!CoInitializeEx                                                 	8       	0x00007FFF990BB9E0           	0x00007FFF9A3F4F7F           	0x00007FFF381296D0	     
IAT   	6300 	SCPSL.exe::NvCamera64.dll           	ole32.dll!CoInitializeEx                                                 	8       	0x00007FFF990BB9E0           	0x00007FFF9A3F4F7F           	0x00007FFF42DF5840	     
IAT   	6300 	SCPSL.exe::GpuDriver.dll            	ole32.dll!CoInitializeEx                                                 	8       	0x00007FFF990BB9E0           	0x00007FFF9A3F4F7F           	0x00007FFF87603178	     
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	ole32.dll!CoInitializeEx                                                 	8       	0x00007FFF990BB9E0           	0x00007FFF9A3F4F7F           	0x00007FFF8896E648	     
IAT   	6300 	SCPSL.exe::GpuDriver.dll            	ole32.dll!CoInitializeSecurity                                           	8       	0x00007FFF990F23C0           	0x00007FFF9A3F4FBE           	0x00007FFF87603168	     
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	ole32.dll!CoInitializeSecurity                                           	8       	0x00007FFF990F23C0           	0x00007FFF9A3F4FBE           	0x00007FFF8896E640	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	ole32.dll!CoSetProxyBlanket                                              	8       	0x00007FFF990F9A90           	0x00007FFF9A3F586F           	0x00007FFF30E6FFB0	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	ole32.dll!CoSetProxyBlanket                                              	8       	0x00007FFF990F9A90           	0x00007FFF9A3F586F           	0x00007FFF3A36BFF0	     
IAT   	6300 	SCPSL.exe::GpuDriver.dll            	ole32.dll!CoSetProxyBlanket                                              	8       	0x00007FFF990F9A90           	0x00007FFF9A3F586F           	0x00007FFF87603158	     
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	ole32.dll!CoSetProxyBlanket                                              	8       	0x00007FFF990F9A90           	0x00007FFF9A3F586F           	0x00007FFF8896E628	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	ole32.dll!CoTaskMemAlloc                                                 	8       	0x00007FFF99119070           	0x00007FFF9A3F5940           	0x00007FFF381296E0	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	ole32.dll!CoTaskMemAlloc                                                 	8       	0x00007FFF99119070           	0x00007FFF9A3F5940           	0x00007FFF3A36BFD0	     
IAT   	6300 	SCPSL.exe::MpOAV.dll                	ole32.dll!CoTaskMemAlloc                                                 	8       	0x00007FFF99119070           	0x00007FFF9A3F5940           	0x00007FFF73535BF8	     
IAT   	6300 	SCPSL.exe::GameOverlayRenderer64.dll	ole32.dll!CoTaskMemAlloc                                                 	8       	0x00007FFF99119070           	0x00007FFF9A3F5940           	0x00007FFF809207F0	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	ole32.dll!CoTaskMemFree                                                  	8       	0x00007FFF99117500           	0x00007FFF9A3F5978           	0x00007FFF30E6FFA8	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	ole32.dll!CoTaskMemFree                                                  	8       	0x00007FFF99117500           	0x00007FFF9A3F5978           	0x00007FFF381296D8	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	ole32.dll!CoTaskMemFree                                                  	8       	0x00007FFF99117500           	0x00007FFF9A3F5978           	0x00007FFF3A36BFB8	     
IAT   	6300 	SCPSL.exe::nvspcap64.dll            	ole32.dll!CoTaskMemFree                                                  	8       	0x00007FFF99117500           	0x00007FFF9A3F5978           	0x00007FFF43526B10	     
IAT   	6300 	SCPSL.exe::drwamsi64.dll            	ole32.dll!CoTaskMemFree                                                  	8       	0x00007FFF99117500           	0x00007FFF9A3F5978           	0x00007FFF7346E518	     
IAT   	6300 	SCPSL.exe::MpOAV.dll                	ole32.dll!CoTaskMemFree                                                  	8       	0x00007FFF99117500           	0x00007FFF9A3F5978           	0x00007FFF73535C08	     
IAT   	6300 	SCPSL.exe::GameOverlayRenderer64.dll	ole32.dll!CoTaskMemFree                                                  	8       	0x00007FFF99117500           	0x00007FFF9A3F5978           	0x00007FFF809207D8	     
IAT   	6300 	SCPSL.exe::igc64.dll                	ole32.dll!CoTaskMemFree                                                  	8       	0x00007FFF99117500           	0x00007FFF9A3F5978           	0x00007FFF8488D4A0	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	ole32.dll!CoUninitialize                                                 	8       	0x00007FFF990BC0E0           	0x00007FFF9A3F5A31           	0x00007FFF30E6FFC8	     
IAT   	6300 	SCPSL.exe::HttpProxy.dll            	ole32.dll!CoUninitialize                                                 	8       	0x00007FFF990BC0E0           	0x00007FFF9A3F5A31           	0x00007FFF319AC488	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	ole32.dll!CoUninitialize                                                 	8       	0x00007FFF990BC0E0           	0x00007FFF9A3F5A31           	0x00007FFF381296E8	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	ole32.dll!CoUninitialize                                                 	8       	0x00007FFF990BC0E0           	0x00007FFF9A3F5A31           	0x00007FFF3A36BFB0	     
IAT   	6300 	SCPSL.exe::NvCamera64.dll           	ole32.dll!CoUninitialize                                                 	8       	0x00007FFF990BC0E0           	0x00007FFF9A3F5A31           	0x00007FFF42DF5848	     
IAT   	6300 	SCPSL.exe::GameOverlayRenderer64.dll	ole32.dll!CoUninitialize                                                 	8       	0x00007FFF990BC0E0           	0x00007FFF9A3F5A31           	0x00007FFF809207F8	     
IAT   	6300 	SCPSL.exe::GpuDriver.dll            	ole32.dll!CoUninitialize                                                 	8       	0x00007FFF990BC0E0           	0x00007FFF9A3F5A31           	0x00007FFF87603170	     
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	ole32.dll!CoUninitialize                                                 	8       	0x00007FFF990BC0E0           	0x00007FFF9A3F5A31           	0x00007FFF8896E638	     
IAT   	6300 	SCPSL.exe::HttpProxy.dll            	ole32.dll!CoWaitForMultipleHandles                                       	8       	0x00007FFF990A5AD0           	0x00007FFF9A3F5BF6           	0x00007FFF319AC470	     
IAT   	6300 	SCPSL.exe::drwamsi64.dll            	ole32.dll!StringFromCLSID                                                	8       	0x00007FFF990E5C20           	0x00007FFF9A3F9423           	0x00007FFF7346E508	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	ole32.dll!StringFromGUID2                                                	8       	0x00007FFF990B8510           	0x00007FFF9A3F945E           	0x00007FFF3A36BFE0	     
IAT   	6300 	SCPSL.exe::MpOAV.dll                	ole32.dll!StringFromGUID2                                                	8       	0x00007FFF990B8510           	0x00007FFF9A3F945E           	0x00007FFF73535C10	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	OLEAUT32.dll!(#10)                                                       	8       	0x00007FFF98854DB0           	0x00007FFF987D1380           	0x00007FFF30E6FAC8	     
IAT   	6300 	SCPSL.exe::TextInputFramework.dll   	OLEAUT32.dll!(#10)                                                       	8       	0x00007FFF98854DB0           	0x00007FFF987D1380           	0x00007FFF8DEAA928	     
IAT   	6300 	SCPSL.exe::WindowsCodecs.dll        	OLEAUT32.dll!(#10)                                                       	8       	0x00007FFF98854DB0           	0x00007FFF987D1380           	0x00007FFF955A0420	     
IAT   	6300 	SCPSL.exe::msctf.dll                	OLEAUT32.dll!(#10)                                                       	8       	0x00007FFF98854DB0           	0x00007FFF987D1380           	0x00007FFF99A2C308	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	OLEAUT32.dll!(#12)                                                       	8       	0x00007FFF987D1380           	0x00007FFF987DD7C0           	0x00007FFF30E6FAC0	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	OLEAUT32.dll!(#12)                                                       	8       	0x00007FFF987D1380           	0x00007FFF987DD7C0           	0x00007FFF3A36B908	     
IAT   	6300 	SCPSL.exe::WindowsCodecs.dll        	OLEAUT32.dll!(#12)                                                       	8       	0x00007FFF987D1380           	0x00007FFF987DD7C0           	0x00007FFF955A0400	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	OLEAUT32.dll!(#149)                                                      	8       	0x00007FFF987C5A30           	0x00007FFF987C6670           	0x00007FFF30E6FAB8	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	OLEAUT32.dll!(#15)                                                       	8       	0x00007FFF987C3E60           	0x00007FFF987C5390           	0x00007FFF38129510	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	OLEAUT32.dll!(#150)                                                      	8       	0x00007FFF987D1030           	0x00007FFF98818350           	0x00007FFF30E6FAD0	     
IAT   	6300 	SCPSL.exe::TextInputFramework.dll   	OLEAUT32.dll!(#150)                                                      	8       	0x00007FFF987D1030           	0x00007FFF98818350           	0x00007FFF8DEAA938	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	OLEAUT32.dll!(#16)                                                       	8       	0x00007FFF987D0F30           	0x00007FFF987C5B00           	0x00007FFF38129518	     
IAT   	6300 	SCPSL.exe::WindowManagementAPI.dll  	OLEAUT32.dll!(#16)                                                       	8       	0x00007FFF987D0F30           	0x00007FFF987C5B00           	0x00007FFF8DF8D488	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	OLEAUT32.dll!(#17)                                                       	8       	0x00007FFF987C5390           	0x00007FFF987C40D0           	0x00007FFF38129520	     
IAT   	6300 	SCPSL.exe::AudioSes.dll             	OLEAUT32.dll!(#184)                                                      	8       	0x00007FFF987DA870           	0x00007FFF987F1A50           	0x00007FFF8B7DDAA8	     
IAT   	6300 	SCPSL.exe::AudioSes.dll             	OLEAUT32.dll!(#185)                                                      	8       	0x00007FFF987DABF0           	0x00007FFF987C2460           	0x00007FFF8B7DDAA0	     
IAT   	6300 	SCPSL.exe::GameAssembly.dll         	OLEAUT32.dll!(#19)                                                       	8       	0x00007FFF987C40D0           	0x00007FFF987C7550           	0x00007FFF38129528	     
IAT   	6300 	SCPSL.exe::steamclient64.dll        	OLEAUT32.dll!(#2)                                                        	8       	0x00007FFF987D22E0           	0x00007FFF987D2200           	0x00007FFF30E6FA98	     
IAT   	6300 	SCPSL.exe::UnityPlayer.dll          	OLEAUT32.dll!(#2)                                                        	8       	0x00007FFF987D22E0           	0x00007FFF987D2200           	0x00007FFF3A36B900	     
IAT   	6300 	SCPSL.exe::GameOverlayRenderer64.dll	OLEAUT32.dll!(#2)                                                        	8       	0x00007FFF987D22E0           	0x00007FFF987D2200           	0x00007FFF80920620	     
